,text,anger,fear,anticipation,trust,surprise,sadness,joy,disgust
212, Use your logic and reason and words,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213," And by doing so, you’ll strengthen your
own position, and you’ll hone your arguments",0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214," And maybe you’ll learn something and realize
you don’t know everything",0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
215," And you may have a new understanding not only
about what your opponents believe but maybe what you believe",0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
216," Either way, you win",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217," And more importantly, our democracy wins",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218," So, anyway, all right",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219," That’s it, Class of 2016 — a few suggestions
on how you can change the world",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
220, Except maybe I’ve got one last suggestion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221, Just one,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222," And that is, gear yourself for the long haul",0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
223," Whatever path you choose — business, nonprofits,
government, education, health care, the arts — whatever it is, you’re going to have
some setbacks",0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
224, You will deal occasionally with foolish people,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0
225, You will be frustrated,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226, You’ll have a boss that’s not great,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227," You won’t always get everything you want
— at least not as fast as you want it",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228, So you have to stick with it,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229, You have to be persistent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230," And success, however small, however incomplete,
success is still success",0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0
231," I always tell my daughters, you know, better
is good",0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0
232," It may not be perfect, it may not be great,
but it’s good",0.0,0.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222,0.0
233," That’s how progress happens — in societies
and in our own lives",0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0
234," So don’t lose hope if sometimes you hit
a roadblock",0.13333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667
235, Don’t lose hope in the face of naysayers,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091
236," And certainly don’t let resistance make
you cynical",0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0
237," Cynicism is so easy, and cynics don’t accomplish
much",0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0
238," As a friend of mine who happens to be from
New Jersey, a guy named Bruce Springsteen, once sang — “they spend their lives waiting
for a moment that just don’t come",0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0
239,” Don’t let that be you,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240, Don’t waste your time waiting,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
241," If you doubt you can make a difference, look
at the impact some of your fellow graduates are already making",0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0
242, Look at what Matthew is doing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243," Look at somebody like Yasmin Ramadan, who
began organizing anti-bullying assemblies when she was 10 years old to help kids handle
bias and discrimination, and here at Rutgers, helped found the Muslim Public Relations Council
to work with administrators and police to promote inclusion",0.14285714285714285,0.14285714285714285,0.0,0.21428571428571427,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
244," Look at somebody like Madison Little, who
grew up dealing with some health issues, and started wondering what his care would have
been like if he lived someplace else, and so, here at Rutgers, he took charge of a student
nonprofit and worked with folks in Australia and Cambodia and Uganda to address the AIDS
epidemic",0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
245," “Our generation has so much energy to adapt
and impact the world,” he said",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246," “My peers give me a lot of hope that we’ll
overcome the obstacles we face in society",0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0
247,"” That’s you! Is it any wonder that I am optimistic? Throughout our history, a new generation of
Americans has reached up and bent the arc of history in the direction of more freedom,
and more opportunity, and more justice",0.0,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0
248," And, Class of 2016, it is your turn now — to
shape our nation’s destiny, as well as your own",0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
249, So get to work,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250," Make sure the next 250 years are better than
the last",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251, Good luck,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0
252, God bless you,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0
253, God bless this country we love,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0
254, Thank you,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
